sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric	sample	tree_species	BLS	season
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	categorical	categorical
E12-49-1-F_S7_L001_R1_001	86643	85329	98.48	82234	80238	92.61	E12-49-1-F_S7_L001_R1_001	Quercus rubra	Y	Fall
E12-49-2-F_S8_L001_R1_001	118055	113494	96.14	110695	105757	89.58	E12-49-2-F_S8_L001_R1_001	Quercus rubra	Y	Fall
E12-49-3-F_S9_L001_R1_001	135162	132333	97.91	126865	122076	90.32	E12-49-3-F_S9_L001_R1_001	Quercus rubra	Y	Fall
E27-80-1-F_S13_L001_R1_001	88	1	1.14	1	1	1.14	E27-80-1-F_S13_L001_R1_001	Quercus rubra	N	Fall
E27-80-2-F_S14_L001_R1_001	48956	47399	96.82	45444	44011	89.9	E27-80-2-F_S14_L001_R1_001	Quercus rubra	N	Fall
E27-80-3-F_S15_L001_R1_001	64216	63065	98.21	60177	59288	92.33	E27-80-3-F_S15_L001_R1_001	Quercus rubra	N	Fall
E28-3-1-F_S22_L001_R1_001	662	378	57.1	329	329	49.7	E28-3-1-F_S22_L001_R1_001	Quercus rubra	N	Fall
E28-3-2-F_S23_L001_R1_001	108514	105134	96.89	103044	99862	92.03	E28-3-2-F_S23_L001_R1_001	Quercus rubra	N	Fall
E28-3-3-F_S24_L001_R1_001	58320	56186	96.34	53797	51667	88.59	E28-3-3-F_S24_L001_R1_001	Quercus rubra	N	Fall
E38-3-1-F_S19_L001_R1_001	90529	87762	96.94	82520	79834	88.19	E38-3-1-F_S19_L001_R1_001	Quercus rubra	N	Fall
E38-3-2-F_S20_L001_R1_001	166692	163391	98.02	157520	150533	90.31	E38-3-2-F_S20_L001_R1_001	Quercus rubra	N	Fall
E38-3-3-F_S21_L001_R1_001	128600	126352	98.25	122203	116122	90.3	E38-3-3-F_S21_L001_R1_001	Quercus rubra	N	Fall
E40-66-1-F_S1_L001_R1_001	108514	105134	96.89	103044	99862	92.03	E40-66-1-F_S1_L001_R1_001	Quercus rubra	Y	Fall
E40-66-2-F_S2_L001_R1_001	58320	56186	96.34	53797	51667	88.59	E40-66-2-F_S2_L001_R1_001	Quercus rubra	Y	Fall
E40-66-3-F_S3_L001_R1_001	90529	87762	96.94	82520	79834	88.19	E40-66-3-F_S3_L001_R1_001	Quercus rubra	Y	Fall
S18-35-1-F_S10_L001_R1_001	166692	163391	98.02	157520	150533	90.31	S18-35-1-F_S10_L001_R1_001	Quercus rubra	Y	Fall
S18-35-2-F_S11_L001_R1_001	128600	126352	98.25	122203	116122	90.3	S18-35-2-F_S11_L001_R1_001	Quercus rubra	Y	Fall
S18-35-3-F_S12_L001_R1_001	127074.45	124292.225	104.80075	119550.075	114414.2	96.38525	S18-35-3-F_S12_L001_R1_001	Quercus rubra	Y	Fall
W11-63-1-F_S4_L001_R1_001	131197.5544	128368.3691	106.6876029	123455.3853	118113.6794	98.07902941	W11-63-1-F_S4_L001_R1_001	Quercus rubra	Y	Fall
W11-63-2-F_S5_L001_R1_001	135320.6588	132444.5132	108.5744559	127360.6956	121813.1588	99.77280882	W11-63-2-F_S5_L001_R1_001	Quercus rubra	Y	Fall
W11-63-3-F_S6_L001_R1_001	139443.7632	136520.6574	110.4613088	131266.0059	125512.6382	101.4665882	W11-63-3-F_S6_L001_R1_001	Quercus rubra	Y	Fall
W41-41-1-F_S16_L001_R1_001	143566.8676	140596.8015	112.3481616	135171.3162	129212.1176	103.1603676	W41-41-1-F_S16_L001_R1_001	Quercus rubra	N	Fall
W41-41-2-F_S17_L001_R1_001	147689.972	144672.9456	114.2350145	139076.6265	132911.597	104.8541471	W41-41-2-F_S17_L001_R1_001	Quercus rubra	N	Fall
W41-41-3-F_S18_L001_R1_001	151813.0764	148749.0898	116.1218674	142981.9368	136611.0764	106.5479265	W41-41-3-F_S18_L001_R1_001	Quercus rubra	N	Fall
